 OTUID	ACK1	ACK2	ACK3	AP1	AP2	AP3	BCK1	BCK2	BCK3	BP1	BP2	BP3
Zotu197	0	27	0	4	0	2	0	10	5	4	0	4
Zotu444	0	8	0	0	0	0	0	0	0	3	0	0
Zotu438	0	5	0	0	0	1	0	1	0	2	0	3
Zotu136	0	13	0	0	1	0	0	9	299	0	1	9
Zotu280	0	6	0	2	15	5	2	4	1	1	0	2
Zotu283	0	9	0	1	0	0	1	0	0	0	4	2
Zotu226	0	3	0	0	0	0	0	0	53	6	0	3
Zotu533	0	6	0	0	0	0	0	0	0	0	0	0
Zotu249	0	9	0	1	0	15	1	3	0	1	0	2
Zotu936	0	1	0	0	0	0	0	0	0	0	0	1
Zotu180	0	29	0	0	3	0	0	3	0	0	0	5
Zotu488	0	7	0	0	0	0	0	0	0	0	0	0
Zotu741	0	2	0	0	0	0	1	0	0	0	0	0
Zotu920	0	2	0	0	0	0	0	0	0	0	0	0
Zotu958	0	2	0	0	0	0	0	0	0	1	0	0
Zotu606	0	0	0	0	5	10	8	2	2	0	0	1
Zotu127	0	47	0	12	7	17	1	0	0	6	1	9
Zotu586	0	2	0	0	0	0	0	0	0	0	0	0
Zotu692	0	2	0	0	0	0	1	0	0	0	0	0
Zotu543	0	3	1	1	5	0	0	2	1	0	5	1
Zotu505	0	1	3	3	0	1	0	0	0	0	0	0
Zotu872	0	1	0	0	0	0	0	0	0	0	0	0
Zotu447	0	7	0	0	0	0	0	0	0	0	0	0
Zotu423	0	7	0	0	0	0	0	1	2	0	0	0
Zotu218	0	12	0	0	0	0	0	0	0	0	0	0
Zotu1003	0	2	1	0	1	0	3	1	0	0	0	0
Zotu588	0	2	0	0	0	0	0	2	1	0	0	0
Zotu557	0	9	0	0	0	0	0	1	0	0	0	0
Zotu115	0	4	1	1	0	0	0	4	21	20	5	159
Zotu402	0	4	0	2	1	2	4	1	1	6	2	2
Zotu520	0	2	0	0	4	0	0	0	22	1	0	2
Zotu812	0	1	0	0	0	0	0	0	0	0	0	0
Zotu325	0	8	3	2	7	0	0	0	0	0	0	1
Zotu580	0	3	0	0	0	0	0	0	0	0	0	0
Zotu329	0	5	0	1	0	4	5	5	1	0	0	1
Zotu511	0	3	0	0	0	2	0	0	0	0	0	1
Zotu319	0	9	0	0	0	0	0	0	0	4	0	0
Zotu467	0	2	0	0	0	1	0	19	20	7	3	5
Zotu334	0	4	1	0	0	5	0	2	1	2	0	0
Zotu288	0	1	3	0	0	2	0	0	18	4	0	2
Zotu761	0	6	0	0	4	8	0	5	10	0	0	1
Zotu142	0	0	2	0	4	11	4	106	10	3	21	3
Zotu76	0	8	8	0	1	4	31	94	211	60	15	69
Zotu419	0	4	2	0	0	0	0	1	0	0	0	0
Zotu603	0	4	0	0	0	0	0	0	0	0	0	0
Zotu176	0	2	0	2	62	63	0	0	1	3	0	3
Zotu695	0	2	0	0	0	0	0	3	0	0	0	0
Zotu460	0	6	0	0	3	1	0	0	0	0	0	0
Zotu235	0	19	0	0	7	2	0	0	0	0	0	0
Zotu731	0	4	0	0	0	0	0	0	0	0	0	0
Zotu378	0	7	0	2	0	0	0	2	0	0	5	2
Zotu242	0	2	0	0	1	0	5	23	9	11	2	9
